Year,Weather Station,Wind Turbine,Type of Energy,PB_PN,PB_PND,PB_PNC,PB_PNDC,ROI_PN,ROI_PNC,TIR_PN,TIR_PNC,COE_PN,COE_PNC,NPC_PN,NPC_PNC,,
,,,,Years,Years,Years,Years,(%),(%),(%),(%),($/kWh),($/kWh),($),($),,
2017,CERTE,ENAIR200L,PML,9.491721698,12.17074678,7.875462222,9.626443099,10.53549642,12.69766741,8.458907803,11.17027636,-0.014695051,-0.024695051,-189995.6722,-319287.9532,,
2018,CERTE,ENAIR200L,PML,7.197339422,8.635829717,6.228126019,7.297494473,13.89402307,16.05619406,12.59954266,15.0904639,-0.030228174,-0.040228174,-390826.9545,-520119.2355,,
2019,CERTE,ENAIR200L,PML,7.101496779,8.504662443,6.156229299,7.202883294,14.08153846,16.24370944,12.81989634,15.30191842,-0.031095429,-0.041095429,-402039.8935,-531332.1746,,
2020,CERTE,ENAIR200L,PML,18.74722069,31.29939055,13.33992326,19.43397694,5.334124009,7.496294996,0.624132714,4.21097893,0.009361198,-0.000638802,121033.0614,-8259.219621,?,
2021,CERTE,ENAIR200L,PML,12.73101893,18.14529552,9.983027039,12.95734246,7.854830832,10.01700182,4.749679348,7.777286251,-0.002297024,-0.012297024,-29698.74331,-158991.0243,,
2022,CERTE,ENAIR200L,PML,9.267894471,11.78114633,7.720750783,9.40624048,10.78993727,12.95210826,8.78837485,11.4778721,-0.015871836,-0.025871836,-205210.5827,-334502.8637,,
2017,MERRA-2,ENAIR200L,PML,,14.9173601,9.18927475,11.66011488,9.014795101,10.88225162,6.415471061,8.907139604,-0.008870997,-0.018870997,-99061.63237,-210730.7437,,
2018,MERRA-2,ENAIR200L,PML,8.598553212,10.72185213,7.408878208,8.925335154,11.62986348,13.49732,9.854920936,12.13024591,-0.022874366,-0.032874366,-255436.0163,-367105.1276,,
2019,MERRA-2,ENAIR200L,PML,8.470105168,10.53171764,7.313317319,8.794553478,11.80622885,13.67368537,10.07509983,12.33942071,-0.023818781,-0.033818781,-265982.2131,-377651.3244,,
2020,MERRA-2,ENAIR200L,PML,23.57555667,41.87886925,16.36892169,26.08824457,4.241681391,6.109137906,-1.517813351,1.988925644,0.01668844,0.00668844,186358.3288,74689.21754,?,?
2021,MERRA-2,ENAIR200L,PML,15.81112538,24.86604417,12.2068569,17.08023022,6.32466049,8.192117005,2.350809428,5.245473146,0.005534343,-0.004465657,61801.51966,-49867.59165,?,
